EVENT_ID,CUSTOMER_ID,SESSION_ID,EVENT_TIMESTAMP,EVENT_TYPE,PAGE_NAME,DEVICE_TYPE,SESSION_DURATION_SEC,CONVERTED
6a76acaf-2f22-48df-be00-9810f46af00a,CUST_00141,19c059f0-6e61-43b3-bb19-ec3ca4919c86,2025-08-10 22:39:48,form_submit,account,mobile,36,False
67859764-e1db-4e56-9190-983bf4a342a8,CUST_01072,3386b478-a404-426a-a282-55df42da1a74,2025-08-10 23:26:48,page_view,home,mobile,108,False
cd61e964-611a-449f-836a-719da55d908d,CUST_00942,536435e4-898a-45c2-a85a-4c195ec13ed3,2025-08-10 23:27:48,page_view,home,mobile,99,False
202a546c-3b5d-490e-8106-b5b0b955a7d6,CUST_01072,3386b478-a404-426a-a282-55df42da1a74,2025-08-10 23:28:36,search,search_results,mobile,108,False
e074e5cf-ff39-4902-9be1-68b776e2ebbe,CUST_00942,536435e4-898a-45c2-a85a-4c195ec13ed3,2025-08-10 23:29:10,page_view,product_listing,mobile,99,False
d4587089-223a-40cd-9594-c9e26d17453d,CUST_00942,536435e4-898a-45c2-a85a-4c195ec13ed3,2025-08-10 23:29:27,scroll,product_detail,mobile,99,False
4483904d-cc2b-4492-88a1-98404b7b3eec,CUST_01406,c28d8c95-f492-49f9-ba0c-ffb473b5832a,2025-08-10 23:43:48,page_view,home,mobile,45,False
ebe8d0c5-da5b-45d9-8f41-69e5ecd7756d,CUST_01406,c28d8c95-f492-49f9-ba0c-ffb473b5832a,2025-08-10 23:44:33,scroll,product_listing,mobile,45,False
490e189a-1037-4522-aa98-ed5abd2d0af9,CUST_00246,32191dfd-8f60-4468-8e0c-0de0d4db0328,2025-08-11 00:58:48,form_submit,account,mobile,11,False
bce3ea8a-c61f-4555-8ee4-16c052fb5ee3,CUST_00875,1b1b5276-c7a7-42a1-91b4-a8013bde22fc,2025-08-11 02:27:48,page_view,home,mobile,173,False
28a9d448-fe55-4026-8988-f5947315f798,CUST_00875,1b1b5276-c7a7-42a1-91b4-a8013bde22fc,2025-08-11 02:29:25,scroll,product_listing,mobile,173,False
966c4ed8-d2bb-4a75-b1f7-3cce318723cf,CUST_00875,1b1b5276-c7a7-42a1-91b4-a8013bde22fc,2025-08-11 02:29:51,page_view,product_listing,mobile,173,False
397b567d-d55f-4ca4-8c7e-0d6201e5e148,CUST_00875,1b1b5276-c7a7-42a1-91b4-a8013bde22fc,2025-08-11 02:30:41,scroll,product_detail,mobile,173,False
dd97c1e1-a93f-4ea0-834d-87ad00f6a595,CUST_01302,4624858e-be76-48e8-ac1f-c5c7b6c14f5e,2025-08-11 03:35:48,page_view,home,desktop,18,False
a5b6bd7d-90af-4f15-b817-819206bfb2c3,CUST_01302,4624858e-be76-48e8-ac1f-c5c7b6c14f5e,2025-08-11 03:36:06,search,search_results,desktop,18,False
0fe1c71d-0bc6-4ac5-a8c0-5300d1983e05,CUST_00123,f297b062-d402-4fa3-9e40-a2e9334dae5c,2025-08-11 03:45:48,page_view,home,mobile,61,False
ec15dcd3-c63c-46ac-b491-aab642ad1eb4,CUST_00123,f297b062-d402-4fa3-9e40-a2e9334dae5c,2025-08-11 03:46:49,page_view,product_listing,mobile,61,False
0bf264bd-91e6-48c5-96c4-bb5958b7f040,CUST_00420,04a57f0c-03da-405d-8803-caa13b597604,2025-08-11 04:34:48,page_view,home,mobile,89,False
3f743bc0-4ccf-4ebc-8d59-1ed0de4c6de0,CUST_00420,04a57f0c-03da-405d-8803-caa13b597604,2025-08-11 04:36:17,search,search_results,mobile,89,False
23e75369-ad57-488d-86f5-20f5f8ac6748,CUST_01449,93c3ea47-e408-410b-b6e7-a99d409779b1,2025-08-11 05:38:48,page_view,home,mobile,79,False
